1	1	128.4
1	1	144.1
1	1	122.5
1	1	138.9
1	1	115.8
1	1	133.6
1	1	142.9
1	1	126.8
1	1	134.2
1	1	120.1
1	1	141.5
1	1	135.4
1	1	67.3
1	1	160.5
1	1	71.4
1	1	108.9
1	1	116.6
1	1	180.4
1	1	28.6
1	1	47.7
1	1	127.8
1	1	60.2
1	1	29.0
1	1	177.0
1	1	36.9
1	2	48.2
1	2	54.8
1	2	39.1
1	2	51.5
1	2	45.3
1	2	60.2
1	2	49.8
1	2	41.5
1	2	53.9
1	2	48.9
1	2	56.1
1	2	46.8
1	2	52.6
1	2	42.9
1	2	77.8
1	2	171.8
1	2	56.1
1	2	89.0
1	2	117.8
1	2	205.8
1	2	85.6
1	2	71.3
1	2	180.6
1	2	100.3
1	2	62.1
2	1	165.8
2	1	175.2
2	1	151.2
2	1	179.8
2	1	158.4
2	1	168.1
2	1	160.2
2	1	172.4
2	1	155.6
2	1	168.9
2	1	161.5
2	1	178.6
2	1	171.0
2	1	163.5
2	1	83.7
2	1	78.8
2	1	151.2
2	1	171.5
2	1	217.7
2	1	108.3
2	1	169.3
2	1	70.0
2	1	189.9
2	1	164.9
2	1	161.2
2	2	62.1
2	2	75.6
2	2	69.4
2	2	67.5
2	2	80.9
2	2	60.3
2	2	78.4
2	2	71.2
2	2	85.2
2	2	65.8
2	2	76.5
2	2	141.6
2	2	198.9
2	2	118.6
2	2	171.7
2	2	77.2
2	2	132.2
2	2	160.9
2	2	154.5
2	2	115.8
2	2	46.1
2	2	92.2
2	2	189.3
2	2	106.2
2	2	183.2
